imo,name,type,dwt,capacity,built,loading_status,origin,eta,lat,lon,progress
9363314,POCHARD S,MPP,32285,42595.0,2007,laden,Novorossiysk,2026-04-22T08:00:00.000Z,41.2798,28.996,0.37228436783047736
9653812,YM EVEREST,MPP,16717,21760.0,2014,laden,Skaw,2026-04-22T09:00:00.000Z,37.4115,12.6704,0.7757459270284424
9011985,FILIKCI 3,MPP,1323,2210.0,1991,laden,Civitavecchia,2026-04-22T10:00:00.000Z,36.8546,18.7485,0.31713769661674457
9549669,SANDRA,MPP,13549,18698.0,2009,laden,Raos,2026-04-23T08:00:00.000Z,35.877,14.7478,0.690197940135019
9650494,COMMANDER K,BULK,35207,45241.0,2012,laden,Skaw,2026-04-23T15:00:00.000Z,37.4402,3.1709,0.6708181591918304
9126352,ZAGOR,MPP,3332,5551.0,1996,ballast,Koper,2026-04-23T16:30:00.000Z,43.9573,14.6074,0.09750319841984456
9208198,OSLO WAVE 3,MPP,17539,19828.0,2000,laden,Donso,2026-04-25T12:00:00.000Z,36.7607,-9.5396,0.5231229709001225
9213090,TRANSOSPREY,MPP,20396,26474.0,2003,laden,Branno,2026-04-27T06:00:00.000Z,44.4863,-9.2214,0.4167270478028668
9292101,PASCO ODIN,TANK,29216,,2005,laden,Greens Bayou,2026-04-29T00:01:00.000Z,33.48,-41.445,0.4579250425054243
9432476,DENSA TIGER,BULK,55089,69452.0,2010,laden,Jiading,2026-05-04T12:00:00.000Z,6.1167,90.91,0.4086735486161544
9827243,IGUAZU HIGHWAY,CAR,21052,,2018,laden,Tanjong Pagar,2026-05-04T22:30:00.000Z,-22.468,7.5009,0.5169394551058119
